,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Photo Link
0,Dr. Fahrettin Koca,@drfahrettinkoca,2024-02-02T16:44:36.000Z,True,,19,40,337,113K,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1753459414395175118,tweet_id:1753459414395175118,
1,Dr. Fahrettin Koca,@drfahrettinkoca,2024-02-02T16:06:43.000Z,True,"Konyamızın Cumhur İttifakı ilçe belediye başkan adayları açıklandı. Aday arkadaşlarımın her birine seçim kampanyası süreçlerinde ve üstleneceklerine inandığım görevde başarılar diliyorum. Konya, 31 ilçesiyle Türkiye Yüzyılına hazır. Gururluyuz.",44,40,447,161K,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1753449880599572763,tweet_id:1753449880599572763,
2,Dr. Fahrettin Koca,@drfahrettinkoca,2024-02-02T10:55:51.000Z,True,,527,1.1K,5.9K,463K,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1753371646977626416,tweet_id:1753371646977626416,https://pbs.twimg.com/media/GFU6OANWUAA07Iw?format=jpg&name=small
3,Dr. Fahrettin Koca,@drfahrettinkoca,2024-02-01T19:38:31.000Z,True,,1.5K,790,5.2K,1.5M,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1753140794284794080,tweet_id:1753140794284794080,
4,Dr. Fahrettin Koca,@drfahrettinkoca,2024-02-01T17:09:19.000Z,True,"2017’de hizmete açılan Yozgat Şehir Hastanemiz, bugüne dek 6 Milyonu aşkın hastaya muayene, 1 Milyon 110 Bini aşkın hastaya acil hizmeti verdi. Yatak kapasitesi 500. 18 ameliyathanesi bulunuyor. Güler yüzle karşılandıklarını söyleyen hastalar, hizmetten memnun ayrılıyor.",2.8K,264,1.8K,345K,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1753103244421972216,tweet_id:1753103244421972216,
5,Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-31T15:08:36.000Z,True,"5 yaş altı çocuklarımızın pil, mıknatıs gibi küçük cisimleri yutmaları nedeniyle yaşadıkları hayli riskli durumlar son yıllarda artmış durumda. Bazı vakalarda cerrahi müdahale kaçınılmaz. İki uzmanımız size önemli bilgiler veriyor. Anne babalar, lütfen dikkat:",13K,316,1.7K,303K,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1752710477723894096,tweet_id:1752710477723894096,https://pbs.twimg.com/ext_tw_video_thumb/1752709927783563264/pu/img/crUO-jUhqN2rGypE.jpg
6,Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-29T15:39:47.000Z,True,,4.2K,418,2.2K,468K,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1751993551024480472,tweet_id:1751993551024480472,https://pbs.twimg.com/ext_tw_video_thumb/1751992907962228736/pu/img/I3D8jQyf5EITLmsv.jpg
7,Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-29T07:46:23.000Z,True,,10K,446,2.8K,346K,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1751874414684033529,tweet_id:1751874414684033529,https://pbs.twimg.com/amplify_video_thumb/1751874290473967616/img/6_U1KZcABDhLajUu.jpg
8,Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-28T18:00:59.000Z,True,,2K,306,1.9K,254K,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1751666695704346690,tweet_id:1751666695704346690,https://pbs.twimg.com/amplify_video_thumb/1751666387045527552/img/b9nmdzo4meDw_ig4.jpg
9,Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-28T16:11:04.000Z,True,"Burası Muş’tur. 17 yaşındaki Epilepsi hastamızın ailesi sıklaşan nöbetler nedeniyle 112’yi aradı. Ambulans, kış şartlarını aşarak hastamıza ulaştı. Nöbetler Muş Devlet Hastanesinde kontrol altına alındı. Yokuşlar, türkülerde. Sağlık hizmeti her şartta. Geçmiş olsun genç kardeşim.",188,339,2.4K,228K,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1751639034017759645,tweet_id:1751639034017759645,https://pbs.twimg.com/ext_tw_video_thumb/1751638892556476416/pu/img/pAs8-l72rr_maYZx.jpg
